,Fecha,Inflaciontotal,IPC,TasaPoliticaMonetaria,TasaDesempleo,TasaOcupacion,ConsumoFinaReal,PIB,IPP,MetaInflacion,TRM,BaseMonetaria,CuasidinerosTotal,DepositosSistemaFinanciero,M1,M2,M3,ReservaBancaria,TotalCarteraBrutaTitularizacionMonedaExtranjera,TotalCarteraBrutaTitularizacionMonedaLegal,CreditoConsumoTasaInteres,DTF,TasaInteresCeroCuponTES,TasaInteresCeroCuponUVR,TasaInteresColocacionBanRep,TIB
0,2008-04-30,0.5669835072306774,0.0,0.9696969696969697,0.2734913834752959,0.5726708816386816,0.0,0.0,0.0,0.5,0.027979364309436816,0.016481811253699352,0.002042219742310669,0.0016768804113465041,0.010956471455230432,0.0046336191244945035,0.0025423592252129534,0.017944612789581427,0.08750120257838459,0.0,1.0,0.9585365853658534,0.9397811820255196,0.9340619416481888,0.982905982905983,0.9552693063934401
1,2008-05-31,0.6561137271106359,0.016471717765126348,0.9696969696969697,0.2528613410885835,0.5631407709487934,0.0,0.0,0.027457710223093956,0.5,0.019094767286781722,0.0,0.0,0.0,0.0,0.0,0.0,0.006490271190894348,0.09696243337269753,0.0030667929508793046,0.9200680272108843,0.9341463414634146,0.9540724188450852,0.978264260965894,0.9358974358974361,0.9574173801331982
2,2008-06-30,0.7612694615360227,0.031856224621252816,0.9696969696969697,0.27655590122481744,0.46408895029576236,0.017849457778055244,0.0,0.05540573670017146,0.5,0.0,0.014665923070685982,0.0015776714214552068,0.0014488299075112732,0.015410883366272943,0.005593240485757767,0.0024380791873132024,0.0034950242401147746,0.12632605081962248,0.009689985186030203,1.0,0.9536585365853658,0.9808046938720637,0.8581408375916835,0.9294871794871795,0.9584004160902586
3,2008-07-31,0.8066438733374363,0.040530150117536135,0.9736070381231672,0.3397379496937323,0.5061996822162884,0.017849457778055244,0.0,0.12037264035302764,0.5,0.0217178192206382,0.011161388129580063,0.007891934523650335,0.0056773578327274365,0.020571788631139287,0.011596138745455564,0.006616513739407304,0.005585415149114814,0.10450728835158754,0.017060035471360424,0.9846938775510203,0.9365853658536583,0.9999999999999999,0.8612916590771013,0.9273504273504274,0.9751495418464002
4,2008-08-31,0.8534228586173725,0.043989700158009626,1.0,0.27963637246180717,0.4994377593861188,0.017849457778055244,0.0,0.11767590095611657,0.5,0.051307615192284994,0.006767383444052921,0.016740213707836293,0.01365209647350435,0.013189866662362881,0.015771942930283056,0.012531911503536386,0.0,0.1295775295998898,0.019688315655434774,0.9753401360544216,0.9792682926829268,0.9575065618687454,0.8683069649692186,0.949786324786325,0.9998291943545836
5,2008-09-30,0.8138807709743953,0.040532416625374657,1.0,0.2606731356067664,0.5313635268059307,0.035576447226327135,0.0,0.1713655307673445,0.5,0.14872372081449425,0.035673998441469734,0.022208996221739052,0.023192966652432034,0.01017376805268938,0.018801098041437814,0.02081613322598941,0.08355170388792177,0.15542652970673235,0.02607279187238326,0.9906462585034013,0.9743902439024388,0.9202982926665745,0.9666680463016035,0.9583333333333333,0.9982072913957643
6,2008-10-31,0.8628401893686094,0.04679241988266769,1.0,0.20217985160156615,0.5618145007290862,0.035576447226327135,0.0,0.20495219416523636,0.5,0.24790432312704735,0.04856686399482402,0.03379482916807236,0.02796907272453447,0.02279695358739764,0.030729754953247257,0.026989697393300704,0.09500861814612127,0.19746733451691076,0.035263319578791474,0.9668367346938775,0.9865853658536583,0.9335963060446125,1.0,0.9262820512820511,1.0
7,2008-11-30,0.8348022273592454,0.051855743558043565,1.0,0.25025478015,0.49180912822913747,0.035576447226327135,0.0,0.18190733022799677,0.5,0.26785983919697365,0.05361701339954117,0.040894630256319064,0.04228232158963641,0.03251862408658346,0.038615372418434324,0.03952412737338551,0.09983424754372267,0.18186761246979358,0.04174611576927989,0.9787414965986394,1.0,0.9065482306069043,0.8074350524115319,1.0,0.9901833264497191
8,2008-12-31,0.8274048070390266,0.059904277395618655,0.9804496578690127,0.23645808357023756,0.5367497595384667,0.05094763185549356,0.06514825490912513,0.11032115714635937,0.5,0.23126915075642784,0.0900876725251124,0.04359149014681957,0.051103240863798916,0.09406690659871492,0.05838129767728967,0.05439856849520547,0.09948140593514726,0.1470818232443982,0.0429939640090688,0.9710884353741496,0.9987804878048778,0.8665358064433814,0.725231228765908,0.9946581196581195,0.9201475778032253
9,2009-01-31,0.7609692841183271,0.07067618490523375,0.9393939393939394,0.4946020147177044,0.44127158836594527,0.05094763185549356,0.06514825490912513,0.05442510419220392,1.0,0.23215810903396805,0.05535750313088478,0.0541324018598488,0.054964552191737626,0.04647987968675421,0.05211099343537273,0.05319818896879336,0.07670788611411239,0.16191289362049874,0.041050294879940274,0.9804421768707483,0.9463414634146339,0.8120486332225781,0.5899445407896337,0.9444444444444444,0.8805970347652352
10,2009-02-28,0.6658050165746359,0.08606571829083753,0.8809523809523809,0.3698475075081452,0.5357417576762309,0.05094763185549356,0.06514825490912513,0.1269919097818093,1.0,0.3474480068793838,0.05769199211914189,0.0641977833069392,0.06017565915102463,0.04815688000574214,0.05978143337130126,0.05653116488894688,0.08689496657446899,0.16170339325452496,0.04206115452175929,0.9659863945578233,0.8597560975609755,0.7605672821348209,0.5556383971326785,0.8782051282051282,0.8748551987602564
