,Fecha,Inflaciontotal,IPC,TasaPoliticaMonetaria,TasaDesempleo,TasaOcupacion,ConsumoFinaReal,PIB,IPP,MetaInflacion,TRM,BaseMonetaria,CuasidinerosTotal,DepositosSistemaFinanciero,M1,M2,M3,ReservaBancaria,TotalCarteraBrutaTitularizacionMonedaExtranjera,TotalCarteraBrutaTitularizacionMonedaLegal,CreditoConsumoTasaInteres,DTF,TasaInteresCeroCuponTES,TasaInteresCeroCuponUVR,TasaInteresColocacionBanRep,TIB
0,2008-04-30,0.5507122567227667,0.0,0.9642857142857142,0.5247863463975041,0.23517560685422545,0.0,0.0,0.0,0.5,0.036928708480188144,0.020980111237880905,0.002337722742521642,0.0019334817551484584,0.014978262991801605,0.005566033759507594,0.0030415550699322003,0.020648451455791195,0.08750120257838459,0.0,1.0,0.9491778774289982,0.927530603766879,0.9309038262945658,0.9823788546255506,0.947161547625775
1,2008-05-31,0.6431916796000913,0.017331921014159146,0.9642857142857142,0.48520058529389576,0.21811882131862603,0.0,0.0,0.027457710223093956,0.5,0.025202327216303777,0.0,0.0,0.0,0.0,0.0,0.0,0.007468205148339013,0.09696243337269753,0.003260108653312499,0.9104761904761904,0.9192825112107622,0.9447291695736234,0.9772232237730835,0.9339207048458152,0.9496989751245045
2,2008-06-30,0.7522988000021095,0.03351985365568977,0.9642857142857142,0.5306666672061741,0.04083801978690449,0.01554906476110629,0.0,0.05540573670017146,0.5,0.0,0.018668621590975543,0.0018059556891704687,0.0016705342691892278,0.021067755703942814,0.0067187579583741774,0.0029167994984845014,0.004021643665709118,0.12632605081962248,0.010300794693815174,1.0,0.9431988041853511,0.976899708556369,0.851346467086209,0.9273127753303964,0.950860193393467
3,2008-07-31,0.799378224045316,0.042646757948730185,0.9688940092165899,0.6519029414630809,0.11620689497506476,0.01554906476110629,0.0,0.12037264035302764,0.5,0.0286643758576699,0.014207611100703121,0.009033873503521528,0.006546124406220155,0.0281230742568917,0.013929608369393276,0.007915675609407535,0.0064270082012524155,0.10450728835158754,0.018135417081239336,0.9828571428571427,0.9222720478325858,1.0,0.8546481977424206,0.9251101321585903,0.9706452182213853
4,2008-08-31,0.8479150005426901,0.046286976224747756,0.9999999999999998,0.5365776002129116,0.10410455206682823,0.01554906476110629,0.0,0.11767590095611657,0.5,0.06771862088412473,0.00861437224708883,0.01916247183821801,0.015741181823366868,0.018031470487823553,0.01894570193284051,0.014992570126013682,0.0,0.1295775295998898,0.020929371257041807,0.9723809523809526,0.9745889387144991,0.9488619353746445,0.8619995029921478,0.9482378854625552,0.9997982346073152
5,2008-09-30,0.806887059071075,0.04264914282050847,0.9999999999999998,0.500190173089723,0.16124459856355422,0.030469879097594132,0.0,0.1713655307673445,0.5,0.19629377098445833,0.04541032803260847,0.02542257058850722,0.026742024992847446,0.013908252682758138,0.022584408343202078,0.024903410549541594,0.09614101580280626,0.15542652970673235,0.027716293783316026,0.9895238095238095,0.9686098654708518,0.9040842247742226,0.9650716062884702,0.9570484581497797,0.9978823501142428
6,2008-10-31,0.8576862017592046,0.04923606250617052,0.9999999999999998,0.3879508900387695,0.21574509162797284,0.030469879097594132,0.0,0.20495219416523636,0.5,0.32719780115409347,0.061821980206073435,0.038684838408450495,0.03224898535124815,0.031165030424182005,0.036913446896615354,0.03228916280926203,0.10932422241013656,0.19746733451691076,0.03748614762870828,0.9628571428571426,0.9835575485799698,0.9200875113384787,0.9999999999999999,0.924008810572687,0.9999999999999999
7,2008-11-30,0.8285946708645819,0.0545638083589155,0.9999999999999998,0.48019901056697123,0.0904509933822597,0.030469879097594132,0.0,0.18190733022799677,0.5,0.3535361920970739,0.06825044214196069,0.04681195917195613,0.04875249111726293,0.044455234122648346,0.04638587262832283,0.04728474591827142,0.1148769626965061,0.18186761246979358,0.044377587741159685,0.9761904761904763,0.9999999999999999,0.8875369272823569,0.7982121190593847,0.9999999999999999,0.9884039840199624
8,2008-12-31,0.8209192812726323,0.06303266113685568,0.9769585253456219,0.45372535023279637,0.17088476115486362,0.047293047364508345,0.06528178644016469,0.11032115714635937,0.5,0.30524178299019655,0.11467485955552503,0.04989904650580207,0.05892321430350128,0.12859604222198567,0.07012925859138347,0.06507980468015451,0.11447095600738527,0.1470818232443982,0.04570409426107008,0.9676190476190474,0.9985052316890878,0.8393846001778481,0.7120711282591469,0.9944933920704845,0.9056737540373844
9,2009-01-31,0.7519873429633332,0.0743671104511674,0.9285714285714284,0.9490623833419397,0.0,0.047293047364508345,0.06528178644016469,0.05442510419220392,1.0,0.30641507916373634,0.07046595520723636,0.061965196160481295,0.06337539524198738,0.06354124725466759,0.06259719258526764,0.06364372892886261,0.08826599276765723,0.16191289362049874,0.04363790568931425,0.9780952380952379,0.9342301943198802,0.7738128623294823,0.5703048596413093,0.9427312775330395,0.8589543916445529
10,2009-02-28,0.6532471339429045,0.09056033212284786,0.8596938775510203,0.7096783808070318,0.1690806612715452,0.047293047364508345,0.06528178644016469,0.1269919097818093,1.0,0.45858104623712115,0.0734375848360036,0.07348700776259381,0.06938392164716989,0.06583382401332327,0.07181114101015268,0.06763113940467991,0.09998803095418413,0.16170339325452496,0.04471248500339331,0.961904761904762,0.828101644245142,0.711858434194142,0.5343556169651418,0.8744493392070484,0.8521718067162213
