Fecha,Inflaciontotal,IPC_0,Promedio mensual TasaPoliticaMonetaria,TasaDesempleo,TasaOcupacion,Promedio mensual ConsumoFinalReal,Promedio mensual PIB,IPP,Promedio mensual MetaInflacion,Promedio mensual TRM,BaseMonetaria,CuasidinerosTotal,DepositosSistemaFinanciero,M1,M2,M3,Promedio mensual ReservaBancaria,TotalCarteraBrutaTitularizacionMonedaExtranjera,TotalCarteraBrutaTitularizacionMonedaLegal,CreditoConsumoTasaInteres,DTF,Promedio mensual TasaInteresCeroCuponTES,Promedio mensual TasaInteresCeroCuponUVR,TasaInteresColocacionBanRep,Promedio mensual TIB,IPC_1,IPC_2,IPC_Y
2008-07-31,7.5196,69.0600128434532,9.78225806451613,12.0638310422609,51.6134786204955,122546.092494615,586457.0,84.91,4.0,1781.0451612903225,28745.175769,108803.48017733,142803.89890065,40011.49969642,148814.97987375,162472.85137533,9652.80467204,6578.61959362,129432.512660727,25.75,9.61,11.006114876417152,5.221057451036212,17.09,9.814187625217391,68.7287790107581,68.1412861654181,69.1921237337067
2008-08-31,7.8693,69.1921237337067,10.0,11.2159467785017,51.4793205045122,122546.092494615,586457.0,84.8,4.0,1847.4774193548387,28283.359307,111496.45304778,145865.49157024,39099.08995965,150595.54300743,165193.81436471,9493.357120402,7150.67306556,130393.864557656,25.64,9.96,10.629080917296804,5.261480418925261,17.3,10.01824153631579,69.0600128434532,68.7287790107581,69.0600993952778
2008-09-30,7.5737,69.0600993952778,10.0,10.9484225160804,52.1127351287154,123794.685570959,586457.0,86.99,4.0,2066.187,31321.487762,113160.87645009,149528.33991137,38726.29846305,151887.17491314,169004.38832802,11878.518162947501,7740.4962791,132729.12864375,25.82,9.92,10.298940978843769,5.828247840528197,17.38,10.004831475454544,69.1921237337067,69.0600128434532,69.2991520447945
2008-10-31,7.9397,69.2991520447945,10.0,10.1232272828135,52.7168895081709,123794.685570959,586457.0,88.36,4.0,2288.858064516129,32676.547208,116687.02352983,151361.94123653,40286.53134544,156973.55487527,171844.10262647,12205.580141158,8699.78454907,136090.768433096,25.54,10.02,10.416931022785855,6.020310241619437,17.08,10.019653775,69.0600993952778,69.1921237337067,69.4925067269265
2008-11-30,7.7301,69.4925067269265,10.0,10.8014453475453,51.3279666944708,123794.685570959,586457.0,87.42,4.0,2333.6603333333333,33207.325461,118847.84726948,156856.95991706,41488.1353259,160335.98259538,177609.68618124,12343.337992994999,8343.82965139,138461.995234901,25.68,10.13,10.176940016707103,4.910729731142813,17.77,9.938488506111112,69.2991520447945,69.0600993952778,69.7998585380227
2008-12-31,7.6748,69.7998585380227,9.838709677419354,10.6068081606259,52.2195992343542,124877.348521664,605713.0,84.5,4.0,2251.5103225806447,37040.446263,119668.63630307,160243.41093512,49095.53790792,168764.17421099,184451.62739872,12333.265379035,7550.08653167,138918.423464916,25.59,10.12,9.821919492131576,4.43706221404738,17.72,9.3594257165,69.4925067269265,69.2991520447945,70.2112086483477
2009-01-31,7.178156,70.2112086483477,9.5,14.2485790938621,50.3252901918307,124877.348521664,605713.0,82.22,5.0,2253.5061290322583,33390.253534,122876.76171165,161725.81217598,43213.75442632,166090.51613797,183899.47716389,11683.14683266,7888.50231384,138207.483278397,25.7,9.69,9.338468033643787,3.6575253659071336,17.25,9.0324177495,69.7998585380227,69.4925067269265,70.7988934432986
2009-02-28,6.466748,70.7988934432986,9.017857142857142,12.4886022618426,52.1996002438094,124877.348521664,605713.0,85.18,5.0,2512.344285714286,33635.611817,125940.15953212,163726.41527856,43421.03261567,169361.19214779,185432.57848435,11973.9587050775,7883.72192858,138577.227661085,25.53,8.98,8.881686505128089,3.4598495746062237,16.63,8.9849436575,70.2112086483477,69.7998585380227,71.1521072514473
2009-03-31,6.140795,71.1521072514473,7.774193548387097,11.9918620812419,53.3783095439168,124919.61966624,605713.0,85.29,5.0,2469.6348387096778,32939.660608,125637.07881174,163754.72581408,42588.32762155,168225.40643329,185113.64662412,11606.671939885,6960.14162463,139188.288175078,25.33,8.17,7.602609428996662,3.0741227377343145,15.78,7.698186374761905,70.7988934432986,70.2112086483477,71.3806389682866
2009-04-30,5.729867,71.3806389682866,7.0,12.1408216057158,54.0861621755935,124919.61966624,605713.0,86.81,5.0,2374.6076666666663,31936.286897,122600.26570152,162597.89398924,42190.03684239,164790.30254391,183970.37687169,11673.4110943875,5527.60715573,141015.11172975,24.73,7.12,6.718928223611809,2.7337912306733894,14.53,7.0223023875,71.1521072514473,70.7988934432986,71.3906873559217
2009-05-31,4.768623,71.3906873559217,6.096774193548387,11.6639081463958,54.4044092720515,124919.61966624,605713.0,85.89,5.0,2227.3177419354843,30853.011738,125387.94670084,164974.20266831,41812.44291488,167200.38961572,185825.04137192,11240.807732722,5143.91869862,143629.702955446,24.32,6.2,5.971520916413116,3.0643814094182207,13.05,6.040343138947368,71.3806389682866,71.1521072514473,71.3506871509893
2009-06-30,3.814862,71.3506871509893,4.866666666666666,11.3382380744366,54.2026659655414,125311.00623429,605713.0,85.57,5.0,2089.4603333333334,32777.221933,126046.10273174,166304.09908616,43620.54375592,169666.64648766,187602.70270836,11701.22544067,4854.80580001,144308.22944553,23.64,5.52,5.562892031863004,3.681338794351508,12.48,4.8700108810526315,71.3906873559217,71.3806389682866,71.3229417072205
2009-07-31,3.276757,71.3229417072205,4.5,12.6320611136098,53.8810871693838,125311.00623429,605713.0,86.14,5.0,2049.239677419355,33781.224896,128396.85341819,167658.17200281,42810.847171,171207.70058919,189048.26674432,12513.278940856,4429.87009678,144605.672120749,22.79,5.15,4.944754018821704,3.057525096209092,11.93,4.473433035,71.3506871509893,71.3906873559217,71.3543921274806
2009-08-31,3.125021,71.3543921274806,4.5,11.7434568865306,53.3388512352356,125311.00623429,605713.0,85.46,5.0,2017.618064516129,32808.214517,125727.70624143,167647.81363405,43408.39519383,169136.10143526,188367.98485878,12393.45854629,4413.13699947,142665.213359879,22.3,5.08,4.801795055974775,2.4943655229042765,11.59,4.215275048947369,71.3229417072205,71.3506871509893,71.2762086079335
