Fecha,Inflaciontotal,IPC,Promedio mensual TasaPoliticaMonetaria,TasaDesempleo,TasaOcupacion,Promedio mensual ConsumoFinalReal,Promedio mensual PIB,IPP,Promedio mensual MetaInflacion,Promedio mensual TRM,BaseMonetaria,CuasidinerosTotal,DepositosSistemaFinanciero,M1,M2,M3,Promedio mensual ReservaBancaria,TotalCarteraBrutaTitularizacionMonedaExtranjera,TotalCarteraBrutaTitularizacionMonedaLegal,CreditoConsumoTasaInteres,DTF,Promedio mensual TasaInteresCeroCuponTES,Promedio mensual TasaInteresCeroCuponUVR,TasaInteresColocacionBanRep,Promedio mensual TIB,IPC_1,IPC_2,IPC_Y
2018-06-30,3.198022,99.3111507800769,4.25,9.08208673816314,58.3104440454891,180826.180872763,832656.0,113.72,3.0,2889.689,83075.827251,336594.62820726,421873.10370509,98841.16190257,435435.79010983,475431.66727011,28980.778513376,17761.21260715,416900.05890148,17.89,4.6,4.660779348361633,1.6351496402803063,12.35,4.25749391631579,99.1577914168873,98.9068958253724,99.1844940507696
2018-07-31,3.119155,99.1844940507696,4.25,9.72066629402551,57.4403226513407,180826.180872763,832656.0,113.45,3.0,2885.3219354838707,82569.470152,338416.10229258,426518.24850392,101095.95942058,439512.06171316,480066.50163939,29272.7727686175,17540.39260195,417084.13310463,18.41,4.57,4.699749888467748,1.9854663596140945,12.33,4.258233639,99.3111507800769,99.1577914168873,99.3032640940607
2018-08-31,3.098241,99.3032640940607,4.25,9.15641456632453,58.2714716920938,180826.180872763,832656.0,113.26,3.0,2958.6667741935485,85285.155221,341022.72659049,427068.82968086,100564.39930517,441587.12589566,480740.36325505,29967.915200982,18932.98048418,416507.35967554,18.0,4.53,4.726298974558415,1.9207917263025096,12.49,4.255731980476191,99.1844940507696,99.3111507800769,99.4671129799915
2018-09-30,3.226776,99.4671129799915,4.25,9.48218505837844,58.2753169073156,182035.767601071,832656.0,115.97,3.0,3033.7679999999996,84388.311323,336903.91483384,423669.69014813,100191.52351163,437095.43834547,477315.97841663,30306.7842746075,18648.52993351,419063.82936353,17.7,4.53,4.726958940979992,1.327733639942191,12.25,4.2532114395,99.3032640940607,99.1844940507696,99.5868378853474
2018-10-31,3.33375,99.5868378853474,4.25,9.06119915105479,59.2238163143154,182035.767601071,832656.0,117.52,3.0,3084.830967741935,83466.493418,340733.15760598,424522.71663637,101775.12921084,442508.28681682,480678.03698518,30277.4512312825,19662.38524702,422474.77554822,17.5,4.43,4.792509467272708,1.17785211837343,11.98,4.259129692272728,99.4671129799915,99.3032640940607,99.7035425508244
2018-11-30,3.268097,99.7035425508244,4.25,8.75834591165997,57.530724382807,182035.767601071,832656.0,115.67,3.0,3194.0343333333335,86695.247914,344640.26209739,434789.01918079,105703.6216571,450343.88375449,491324.5069794,29142.900535693996,20351.46564663,427374.48354442,17.28,4.42,4.884910750282381,1.0264019488049825,11.96,4.2548464025,99.5868378853474,99.4671129799915,100.0
2018-12-31,3.178001,100.0,4.25,9.72109011461203,58.7267215244695,182776.600219885,854008.0,113.86,3.0,3218.5509677419354,98081.005266,342612.75818876,440026.17501995,116395.81857922,459008.57676798,504403.73715239,32284.0738199225,19618.86092257,430777.40100027,17.21,4.54,4.846846734144754,0.8213805362356972,11.13,4.246384777777778,99.7035425508244,99.5868378853474,100.59854
2019-01-31,3.15,100.59854,4.25,12.7954576332439,55.3335593546967,182776.600219885,854008.0,114.53,3.0,3165.188064516129,90004.211499,342749.00031666,429881.24687755,107764.55071238,450513.55102904,490944.0170109,30893.877646645,18287.39323424,429370.63176399,18.43,4.56,4.844356669097587,1.2732932518505682,12.69,4.254081652380952,100.0,99.7035425508244,101.17675
2019-02-28,3.01408,101.17675,4.25,11.7683980121889,56.3505119490261,182776.600219885,854008.0,115.6,3.0,3115.8385714285714,88952.568495,348494.90122595,437212.04230963,108341.49961915,456836.4008451,497634.53439109,30470.1403922775,18003.13070318,434473.47765683,17.82,4.57,4.759929387974345,1.1829951222769712,11.93,4.256960671,100.59854,100.0,101.61572
2019-03-31,3.21321,101.61572,4.25,10.8165675901179,56.3933356269048,185189.155385324,854008.0,116.37,3.0,3128.684193548387,89772.135603,353771.77503435,445032.11595586,108964.86678113,462736.64181548,504081.30898883,30604.70998896,17990.61025901,436743.59890745,17.66,4.55,4.622454238871072,1.4719043253640123,12.05,4.2557770994999995,101.17675,100.59854,102.11886
